disasternumber,totalnumberiaapproved,totalamountihpapproved,totalamounthaapproved,totalamountonaapproved,totalobligatedamountpa,totalobligatedamountcatab,totalobligatedamountcatc2g,totalobligatedamounthmgp,paloaddate,ialoaddate,disasternumber_filled,totalnumberiaapproved_filled,totalamountihpapproved_filled,totalamounthaapproved_filled,totalamountonaapproved_filled,totalobligatedamountpa_filled,totalobligatedamountcatab_filled,totalobligatedamountcatc2g_filled,totalobligatedamounthmgp_filled
3601,,,,,,,,,,,3601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3602,,,,,,,,,,,3602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1802,,,,,18812748.86,13423088.38,4869890.36,2710679.0,2026-02-06,,1802,0.0,0.0,0.0,0.0,18812748.86,13423088.38,4869890.36,2710679.0
1292,,,,,298105794.06,143602692.89,150485207.39,67665966.0,2026-02-06,,1292,0.0,0.0,0.0,0.0,298105794.06,143602692.89,150485207.39,67665966.0
3163,,,,,5380816.01,5369403.69,,,2026-02-06,,3163,0.0,0.0,0.0,0.0,5380816.01,5369403.69,0.0,0.0
3187,,,,,1597088.45,1616903.05,,,2026-02-06,,3187,0.0,0.0,0.0,0.0,1597088.45,1616903.05,0.0,0.0
4015,,,,,5553128.41,3549146.66,1760212.52,1762074.09,2026-02-06,,4015,0.0,0.0,0.0,0.0,5553128.41,3549146.66,1760212.52,1762074.09
4261,,,,,69267697.55,63921034.22,5197038.9,11150426.87,2026-02-06,,4261,0.0,0.0,0.0,0.0,69267697.55,63921034.22,5197038.9,11150426.87
1752,,,,,3020576.08,82107.37,2836362.71,1247.0,2026-02-06,,1752,0.0,0.0,0.0,0.0,3020576.08,82107.37,2836362.71,1247.0
2248,,,,,18718.34,18718.34,,,2026-02-06,,2248,0.0,0.0,0.0,0.0,18718.34,18718.34,0.0,0.0
2177,,,,,964468.0,964468.0,,,2026-02-06,,2177,0.0,0.0,0.0,0.0,964468.0,964468.0,0.0,0.0
5463,,,,,247922.91,31636.88,,530971.87,2026-02-06,,5463,0.0,0.0,0.0,0.0,247922.91,31636.88,0.0,530971.87
1349,,,,,2838615.94,94167.46,2564548.23,538400.0,2026-02-06,,1349,0.0,0.0,0.0,0.0,2838615.94,94167.46,2564548.23,538400.0
1384,,,,,6425209.53,2629470.0,3613225.53,1051510.0,2026-02-06,,1384,0.0,0.0,0.0,0.0,6425209.53,2629470.0,3613225.53,1051510.0
1615,,,,,8128420.53,553279.69,7427977.19,0.0,2026-02-06,,1615,0.0,0.0,0.0,0.0,8128420.53,553279.69,7427977.19,0.0
5634,,,,,,,,0.0,,,5634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4045,,,,,5135398.21,561055.89,4428207.36,720204.0,2026-02-06,,4045,0.0,0.0,0.0,0.0,5135398.21,561055.89,4428207.36,720204.0
5492,,,,,,,,43908.05,,,5492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43908.05
2108,,,,,8815.1,8815.1,,,2026-02-06,,2108,0.0,0.0,0.0,0.0,8815.1,8815.1,0.0,0.0
4212,,,,,8736490.43,8429263.2,156446.83,269876.97,2026-02-06,,4212,0.0,0.0,0.0,0.0,8736490.43,8429263.2,156446.83,269876.97
4415,,,,,6453697.9,423536.43,5347443.35,1109703.29,2026-02-06,,4415,0.0,0.0,0.0,0.0,6453697.9,423536.43,5347443.35,1109703.29
5630,,,,,,,,0.0,,,5630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1267,,,,,,,,2167204.0,,,1267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2167204.0
4056,,,,,30413928.56,15972757.36,13054413.58,5794419.14,2026-02-06,,4056,0.0,0.0,0.0,0.0,30413928.56,15972757.36,13054413.58,5794419.14
5384,,,,,,,,885821.04,,,5384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885821.04
1270,,,,,,,,319783.0,,,1270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319783.0
5629,,,,,,,,0.0,,,5629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5631,,,,,,,,0.0,,,5631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5278,,,,,,,,1527297.3,,,5278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1527297.3
5494,,,,,,,,645732.1,,,5494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645732.1
5614,,,,,,,,0.0,,,5614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2956,,,,,586405.18,539825.8,,0.0,2026-02-06,,2956,0.0,0.0,0.0,0.0,586405.18,539825.8,0.0,0.0
1836,,,,,6100444.28,3010700.1,2801845.18,666076.0,2026-02-06,,1836,0.0,0.0,0.0,0.0,6100444.28,3010700.1,2801845.18,666076.0
4185,,,,,3837595.3,200422.1,3582189.99,213400.0,2026-02-06,,4185,0.0,0.0,0.0,0.0,3837595.3,200422.1,3582189.99,213400.0
5284,,,,,264039.14,55841.5,,348002.3,2026-02-06,,5284,0.0,0.0,0.0,0.0,264039.14,55841.5,0.0,348002.3
1781,,,,,1655156.5,250629.68,1309133.42,192093.0,2026-02-06,,1781,0.0,0.0,0.0,0.0,1655156.5,250629.68,1309133.42,192093.0
1274,,,,,1525086.7,1060865.15,587622.94,778869.0,2026-02-06,,1274,0.0,0.0,0.0,0.0,1525086.7,1060865.15,587622.94,778869.0
5388,,,,,2746912.41,,,1456557.64,2026-02-06,,5388,0.0,0.0,0.0,0.0,2746912.41,0.0,0.0,1456557.64
5456,,,,,,,,4792739.84,,,5456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4792739.84
3340,,,,,495306.49,495306.49,,,2026-02-06,,3340,0.0,0.0,0.0,0.0,495306.49,495306.49,0.0,0.0
5380,,,,,13195694.92,755181.46,,3908293.99,2026-02-06,,5380,0.0,0.0,0.0,0.0,13195694.92,755181.46,0.0,3908293.99
2363,,,,,5060820.9,5060820.9,,,2026-02-06,,2363,0.0,0.0,0.0,0.0,5060820.9,5060820.9,0.0,0.0
2115,,,,,6199578.0,6199578.0,,,2026-02-06,,2115,0.0,0.0,0.0,0.0,6199578.0,6199578.0,0.0,0.0
1290,,,,,,,,200782.0,,,1290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200782.0
3626,,,,,,,,,,,3626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4551,,,,,8718623.77,5955240.23,2238316.72,717345.1,2026-02-06,,4551,0.0,0.0,0.0,0.0,8718623.77,5955240.23,2238316.72,717345.1
3646,,,,,,,,,,,3646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5633,,,,,,,,0.0,,,5633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1291,,,,,,,,381636.0,,,1291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381636.0
5395,,,,,,,,3086697.91,,,5395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3086697.91
1945,,,,,2138551.99,65844.71,2064752.98,14946.0,2026-02-06,,1945,0.0,0.0,0.0,0.0,2138551.99,65844.71,2064752.98,14946.0
5470,,,,,,,,0.0,,,5470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4274,,,,,4693118.02,304934.78,4213341.88,680649.32,2026-02-06,,4274,0.0,0.0,0.0,0.0,4693118.02,304934.78,4213341.88,680649.32
1986,,,,,5934923.13,94913.51,5815317.82,487940.0,2026-02-06,,1986,0.0,0.0,0.0,0.0,5934923.13,94913.51,5815317.82,487940.0
1743,,,,,2629570.0,1000841.59,1526800.41,339127.0,2026-02-06,,1743,0.0,0.0,0.0,0.0,2629570.0,1000841.59,1526800.41,339127.0
1298,,,,,,,,195648.0,,,1298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195648.0
2951,,,,,419338.96,44966.47,,0.0,2026-02-06,,2951,0.0,0.0,0.0,0.0,419338.96,44966.47,0.0,0.0
4156,,,,,2670513.58,913403.65,1721740.89,370314.0,2026-02-06,,4156,0.0,0.0,0.0,0.0,2670513.58,913403.65,1721740.89,370314.0
2673,,,,,440667.37,7838.48,,0.0,2026-02-06,,2673,0.0,0.0,0.0,0.0,440667.37,7838.48,0.0,0.0
4067,,,,,4046793.01,4024549.15,,475368.08,2026-02-06,,4067,0.0,0.0,0.0,0.0,4046793.01,4024549.15,0.0,475368.08
1304,,,,,,,,10446.0,,,1304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10446.0
2681,,,,,1153198.47,79387.8,,0.0,2026-02-06,,2681,0.0,0.0,0.0,0.0,1153198.47,79387.8,0.0,0.0
2162,,,,,19501.3,19501.3,,,2026-02-06,,2162,0.0,0.0,0.0,0.0,19501.3,19501.3,0.0,0.0
3249,,,,,1236260.12,1150726.56,,,2026-02-06,,3249,0.0,0.0,0.0,0.0,1236260.12,1150726.56,0.0,0.0
2484,,,,,428141.66,73282.51,,0.0,2026-02-06,,2484,0.0,0.0,0.0,0.0,428141.66,73282.51,0.0,0.0
5460,,,,,208241.86,28863.34,,0.0,2026-02-06,,5460,0.0,0.0,0.0,0.0,208241.86,28863.34,0.0,0.0
2425,,,,,697351.18,44959.17,,,2026-02-06,,2425,0.0,0.0,0.0,0.0,697351.18,44959.17,0.0,0.0
5246,,,,,16270482.58,34072.55,,0.0,2026-02-06,,5246,0.0,0.0,0.0,0.0,16270482.58,34072.55,0.0,0.0
2979,,,,,3726826.58,87491.44,,0.0,2026-02-06,,2979,0.0,0.0,0.0,0.0,3726826.58,87491.44,0.0,0.0
5249,,,,,2349031.77,11751.88,,0.0,2026-02-06,,5249,0.0,0.0,0.0,0.0,2349031.77,11751.88,0.0,0.0
4437,,,,,971158.24,17520.99,873961.52,139036.79,2026-02-06,,4437,0.0,0.0,0.0,0.0,971158.24,17520.99,873961.52,139036.79
5335,,,,,1240045.95,,,0.0,2026-02-06,,5335,0.0,0.0,0.0,0.0,1240045.95,0.0,0.0,0.0
2305,,,,,374315.41,374315.41,,,2026-02-06,,2305,0.0,0.0,0.0,0.0,374315.41,374315.41,0.0,0.0
1321,,,,,,,,316618.0,,,1321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316618.0
1322,,,,,,,,305250.0,,,1322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305250.0
2716,,,,,387966.83,,,0.0,2026-02-06,,2716,0.0,0.0,0.0,0.0,387966.83,0.0,0.0,0.0
2255,,,,,193692.1,193692.1,,,2026-02-06,,2255,0.0,0.0,0.0,0.0,193692.1,193692.1,0.0,0.0
4316,,,,,1676798.53,386527.2,1287325.25,176414.25,2026-02-06,,4316,0.0,0.0,0.0,0.0,1676798.53,386527.2,1287325.25,176414.25
5314,,,,,460929.86,,,0.0,2026-02-06,,5314,0.0,0.0,0.0,0.0,460929.86,0.0,0.0,0.0
2997,,,,,51448.94,4344.83,,0.0,2026-02-06,,2997,0.0,0.0,0.0,0.0,51448.94,4344.83,0.0,0.0
5198,,,,,7541832.83,3250.64,,0.0,2026-02-06,,5198,0.0,0.0,0.0,0.0,7541832.83,3250.64,0.0,0.0
