disasternumber,state,declarationtype,incidenttype,fydeclared,declarationdate,designated_area_count,declaration_delay_days,ongoing_at_declaration,declaration_year,declaration_month,declaration_quarter,declaration_weekday,declaration_season,previous_state_disasters,previous_incident_disasters,previous_state_incident_disasters,days_since_previous_state_disaster,days_since_previous_incident,totalobligated,log_totalobligated
1239,TX,DR,Severe Storm,1998,1998-08-26,257,4,1,1998,8,3,2,Summer,147,209,9,21.0,14.0,8224551.92,15.922634496907353
1257,TX,DR,Flood,1999,1998-10-21,43,4,1,1998,10,4,2,Autumn,157,653,31,28.0,111.0,33271088.84,17.32019940489728
3134,IL,EM,Snowstorm,1999,1999-01-08,52,7,1,1999,1,1,4,Winter,35,69,1,478.0,367.0,30456997.53,17.23182636249336
3136,NY,EM,Snowstorm,1999,1999-01-15,10,14,0,1999,1,1,4,Winter,45,70,8,126.0,7.0,4673921.01,15.357509108019606
3135,IN,EM,Snowstorm,1999,1999-01-15,57,14,0,1999,1,1,4,Winter,25,71,2,177.0,0.0,9848206.51,16.10280001790794
1260,TN,DR,Severe Storm,1999,1999-01-15,33,23,0,1999,1,1,4,Winter,27,218,6,176.0,70.0,10096131.65,16.127663002543695
1261,AL,DR,Severe Storm,1999,1999-01-15,12,23,0,1999,1,1,4,Winter,40,219,16,107.0,0.0,5735788.22,15.562235913724486
1262,TN,DR,Severe Storm,1999,1999-01-19,24,2,1,1999,1,1,1,Winter,28,220,7,4.0,4.0,15408228.37,16.550412299331878
1264,LA,DR,Severe Storm,1999,1999-01-21,18,30,0,1999,1,1,3,Winter,42,222,6,120.0,0.0,3033057.68,14.925082133664572
1266,AR,DR,Severe Storm,1999,1999-01-23,22,2,1,1999,1,1,5,Winter,37,223,4,276.0,2.0,7264503.91,15.798510705382903
1265,MS,DR,Severe Ice Storm,1999,1999-01-25,34,33,0,1999,1,1,0,Winter,38,9,0,116.0,748.0,6970269.48,15.757164588296531
3137,MI,EM,Snowstorm,1999,1999-01-27,31,25,0,1999,1,1,2,Winter,24,72,3,175.0,12.0,9019408.49,16.01488942315519
1268,WY,DR,Severe Ice Storm,1999,1999-02-17,2,135,0,1999,2,1,2,Winter,6,10,0,4184.0,23.0,718613.3400000001,13.485080108931415
3138,NY,EM,Snowstorm,1999,1999-03-10,6,7,0,1999,3,1,2,Spring,46,73,9,54.0,42.0,3130695.67,14.956766116024227
1269,LA,DR,Severe Storm,1999,1999-04-09,5,6,0,1999,4,2,4,Spring,43,224,7,78.0,76.0,1740918.65,14.369924066048316
1271,GA,DR,Severe Storm,1999,1999-04-20,2,5,0,1999,4,2,1,Spring,30,226,4,405.0,0.0,1868580.4000000001,14.440690091315213
3139,FL,EM,Fire,1999,1999-04-27,52,12,1,1999,4,2,1,Spring,73,292,28,4.0,4.0,1062381.3,13.876024397173955
1272,OK,DR,Tornado,1999,1999-05-04,19,1,0,1999,5,2,1,Spring,51,137,8,237.0,315.0,40593066.51,17.51910785900713
1273,KS,DR,Tornado,1999,1999-05-04,3,1,1,1999,5,2,1,Spring,22,138,5,180.0,0.0,3144097.57,14.961037783820947
1274,TX,DR,Tornado,1999,1999-05-06,4,2,0,1999,5,2,3,Spring,159,139,13,65.0,2.0,1678565.0,14.333450415451345
1275,TN,DR,Severe Storm,1999,1999-05-12,18,7,1,1999,5,2,2,Spring,30,227,8,29.0,22.0,5322244.0,15.487405764785244
1276,CO,DR,Severe Storm,1999,1999-05-17,12,18,1,1999,5,2,0,Spring,21,228,0,654.0,5.0,5242363.94,15.47228327890847
1277,IA,DR,Severe Storm,1999,1999-05-21,17,5,1,1999,5,2,4,Spring,31,229,3,323.0,4.0,8536338.74,15.95984287201518
1278,IL,DR,Severe Storm,1999,1999-05-28,1,12,0,1999,5,2,4,Spring,36,230,12,140.0,7.0,505599.79,13.133502684313564
1279,ND,DR,Flood,1999,1999-06-08,46,99,1,1999,6,2,1,Summer,26,654,18,358.0,230.0,48418366.59,17.69538979535775
1280,SD,DR,Tornado,1999,1999-06-09,2,5,1,1999,6,2,2,Summer,28,140,0,373.0,34.0,801099.77,13.593742023381125
1281,NV,DR,Severe Storm,1999,1999-07-20,1,12,0,1999,7,3,1,Summer,23,231,1,17.0,53.0,4800431.649999999,15.384216607232833
1282,IA,DR,Severe Storm,1999,1999-07-22,21,20,1,1999,7,3,3,Summer,32,232,4,62.0,2.0,10955375.22,16.209340872731467
1283,MN,DR,Severe Storm,1999,1999-07-28,9,24,1,1999,7,3,2,Summer,39,233,9,400.0,6.0,11747960.64,16.27919030605868
1284,WI,DR,Flood,1999,1999-08-16,10,43,0,1999,8,3,0,Summer,29,655,12,369.0,69.0,4093739.69,15.22496970416464
1285,UT,DR,Tornado,1999,1999-08-16,1,5,0,1999,8,3,0,Summer,7,141,0,1836.0,68.0,518798.92,13.15927357722241
1286,NE,DR,Severe Storm,1999,1999-08-20,3,14,0,1999,8,3,4,Summer,25,234,3,657.0,23.0,2083278.6300000001,14.549453955112227
1287,TX,DR,Hurricane,1999,1999-08-22,13,1,1,1999,8,3,6,Summer,161,108,8,1.0,325.0,3704219.08,15.124983289829748
1288,MN,DR,Severe Ice Storm,1999,1999-08-26,7,178,0,1999,8,3,3,Summer,40,11,1,29.0,190.0,7788940.09,15.868215476643288
3142,TX,EM,Fire,1999,1999-09-01,227,31,1,1999,9,3,2,Autumn,167,309,98,1.0,1.0,6218085.26,15.642972742132466
3141,NC,EM,Hurricane,1999,1999-09-01,11,3,1,1999,9,3,2,Autumn,30,109,10,370.0,10.0,3476283.06,15.061474482396731
3140,CA,EM,Fire,1999,1999-09-01,10,8,1,1999,9,3,2,Autumn,72,310,19,204.0,0.0,51210210.78,17.751449518950587
1289,PA,DR,Severe Storm,1999,1999-09-01,2,12,0,1999,9,3,2,Autumn,33,235,4,450.0,12.0,785818.08,13.574481866799246
3143,FL,EM,Hurricane,1999,1999-09-14,12,0,1,1999,9,3,1,Autumn,75,112,15,123.0,5.0,3683043.54,15.119250288756195
3144,GA,EM,Hurricane,1999,1999-09-14,6,0,1,1999,9,3,1,Autumn,31,113,2,147.0,0.0,3753868.1599999997,15.138297642031583
1292,NC,DR,Hurricane,1999,1999-09-16,66,1,1,1999,9,3,3,Autumn,33,116,13,1.0,1.0,304417697.42,19.533911324245857
3148,NJ,EM,Hurricane,1999,1999-09-17,21,1,1,1999,9,3,4,Autumn,20,118,2,563.0,1.0,2032513.9300000002,14.52478446601058
1295,NJ,DR,Hurricane,1999,1999-09-18,9,2,0,1999,9,3,5,Autumn,21,120,3,1.0,0.0,40662526.05,17.520817514995617
1294,PA,DR,Hurricane,1999,1999-09-18,8,2,1,1999,9,3,5,Autumn,34,121,1,17.0,0.0,11103894.02,16.22280650743331
1293,VA,DR,Hurricane,1999,1999-09-18,48,5,1,1999,9,3,5,Autumn,29,122,5,2.0,0.0,19894763.31,16.805967155077845
1296,NY,DR,Hurricane,1999,1999-09-19,15,3,0,1999,9,3,6,Autumn,49,123,6,1.0,1.0,41293482.28,17.536215255650628
1297,DE,DR,Hurricane,1999,1999-09-21,1,6,0,1999,9,3,1,Autumn,8,124,0,585.0,2.0,3383786.93,15.034506329304786
1299,SC,DR,Hurricane,1999,1999-09-21,27,7,1,1999,9,3,1,Autumn,9,125,5,6.0,0.0,21023542.65,16.861153493885535
1300,FL,DR,Hurricane,1999,1999-09-22,12,9,1,1999,9,3,2,Autumn,76,126,16,8.0,1.0,34472358.4,17.355668384076328
1301,NM,DR,Severe Storm,1999,1999-09-22,8,68,0,1999,9,3,2,Autumn,21,236,1,447.0,21.0,1971615.03,14.494364084232732
1302,CT,DR,Hurricane,1999,1999-09-23,3,7,0,1999,9,3,3,Autumn,12,127,4,1338.0,1.0,1880626.99,14.447116316262159
1303,MD,DR,Hurricane,1999,1999-09-24,11,8,0,1999,9,3,4,Autumn,14,128,1,1102.0,1.0,5462529.95,15.513422784273821
3150,FL,EM,Hurricane,2000,1999-10-15,29,1,1,1999,10,4,4,Autumn,77,129,17,23.0,21.0,547528.1,13.213170889945276
